Number,Name,Number_group
0,18170N2,0
1,18171N2,0
2,20680N2,0
3,20690N2,6
4,20700N2,12
5,20701N2,90
6,21740N2,24
7,21750N2,0
8,21751N2,0
9,21752N2,0
10,21760N3,8
11,21761N2,16
12,21770N2,6
13,21771N2,0
14,21780N2,24
15,21781N2,20
16,21790N3,108
17,21800N2,12
18,21810N2,6
19,21811N2,6
20,21820N2,0
21,21821N2,0
22,21822N2,0
23,21823N2,0
24,21830N2,0
25,21840N2,24
26,21850N2,64
27,21860N2,32
28,22050N2,16
29,22060N2,12
30,22061N2,12
31,22070N2,0
32,22080N2,24
33,22090N2,96
34,22091N2,96
35,22100N2,8
36,221010N2,24
37,221011N2,12
38,221012N2,32
39,221013N2,32
40,22101N2,6
41,22102N2,36
42,22103N2,24
43,22104N2,24
44,22105N2,8
45,22106N2,6
46,22107N2,36
47,22108N2,24
48,22109N2,24
49,22110N2,54
50,22120N2,48
51,22121N2,0
52,22130N2,48
53,22131N2,64
54,22140N2,12
55,22141N2,6
56,22142N2,6
57,22143N2,6
58,22144N2,6
59,22150N2,0
60,22160N2,6
61,22161N2,6
62,22162N2,6
63,22170N2,12
64,22171N2,12
65,22172N2,12
66,22180N2,0
67,22181N2,6
68,22182N2,0
69,22190N2,18
70,22200N2,0
71,22210N2,0
72,22220N2,72
73,22221N2,36
74,22222N2,42
75,22223N2,48
76,22230N2,34
77,22231N2,34
78,22232N2,32
79,22233N2,32
80,22240N3,8
81,22241N3,16
82,22242N3,24
83,22250N3,48
84,22251N3,32
85,22260N2,12
86,22261N2,12
87,22270N2,12
88,22271N2,12
89,22272N2,8
90,22273N2,8
91,22280N2,0
92,22290N2,32
93,22291N2,32
94,22292N2,32
95,22300N2,36
96,22301N2,48
97,22310N2,6
98,22320N2,30
99,22321N2,20
100,22322N2,40
101,22330N2,24
102,22340N2,32
103,22341N2,32
104,22342N2,32
105,22350N2,48
106,22351N2,48
107,22360N2,16
108,22361N2,256
109,22370N2,4
110,22380N2,0
111,22390N2,12
112,22400N2,19680
113,22410N2,6
114,22411N2,12
115,22420N2,0
116,22430N2,6
117,22440N2,12
118,22441N2,12
119,22450N2,88
120,22451N2,12
121,22452N2,980
122,22453N2,30
123,22457N2,54
124,22458N2,42
125,2245aN2,12
126,2245bN2,8
127,2245cN2,16
128,2245dN2,54
129,2245eN2,16
130,2245fN2,6
131,2245gN2,20
132,2245hN2,26
133,2245iN2,24
134,2245jN2,12
135,2245kN2,28
136,2245lN2,12
137,2245mN2,26
138,2245nN2,0
139,2245oN2,36
140,2245pN2,36
141,2245qN2,104
142,2245rN2,20
143,2245sN2,20
144,2245tN2,36
145,2245uN2,36
146,2245vN2,16
147,2245wN2,12
148,2245xN2,20
149,22460N3,64
150,22470N2,0
151,22480N2,24
152,22490N2,68
153,22491N2,18
154,22500N2,24
155,22510N2,12
156,22520N2,24
157,22530N2,24
158,22531N2,18
159,22532N2,12
160,22540N2,12
161,22541N2,12
162,22542N2,12
163,22543N2,12
164,22550N2,0
165,22551N2,16
166,22552N2,12
